U+0041 U+0061
U+04CD U+04CE
U+04D0 U+04D1
U+04D2 U+04D3
U+04D4 U+04D5
U+04D6 U+04D7
U+04D8 U+04D9
U+04DA U+04DB
U+04DC U+04DD
U+04DE U+04DF
U+04E0 U+04E1
U+04E2 U+04E3
U+04E4 U+04E5
U+04E6 U+04E7
U+04E8 U+04E9
U+04EA U+04EB
U+04EC U+04ED
U+04EE U+04EF
U+04F0 U+04F1
U+04F2 U+04F3
U+04F4 U+04F5
U+04F6 U+04F7
U+04F8 U+04F9
U+04FA U+04FB
U+04FC U+04FD
U+04FE U+04FF
U+0500 U+0501
U+0502 U+0503
U+0504 U+0505
U+0506 U+0507
U+0508 U+0509
U+050A U+050B
U+050C U+050D
U+050E U+050F
U+0510 U+0511
U+0512 U+0513
U+0514 U+0515
U+0516 U+0517
U+0518 U+0519
U+051A U+051B
U+051C U+051D
U+051E U+051F
U+0520 U+0521
U+0522 U+0523
U+0524 U+0525
U+0526 U+0527
U+0528 U+0529
U+052A U+052B
U+052C U+052D
U+052E U+052F
U+0531 U+0561
U+0532 U+0562
U+0533 U+0563
U+0534 U+0564
U+0535 U+0565
U+0536 U+0566
U+0537 U+0567
U+0538 U+0568
U+0539 U+0569
U+053A U+056A
U+053B U+056B
U+053C U+056C
U+053D U+056D
U+053E U+056E
U+053F U+056F
U+0540 U+0570
U+0541 U+0571
U+0542 U+0572
U+0543 U+0573
U+0544 U+0574
U+0545 U+0575
U+0546 U+0576
U+0547 U+0577
U+0548 U+0578
U+0549 U+0579
U+054A U+057A
U+054B U+057B
U+054C U+057C
U+054D U+057D
U+054E U+057E
U+054F U+057F
U+0550 U+0580
U+0551 U+0581
U+0552 U+0582
U+0553 U+0583
U+0554 U+0584
U+0555 U+0585
U+0556 U+0586
U+10A0 U+2D00
U+10A1 U+2D01
U+10A2 U+2D02
U+10A3 U+2D03
U+10A4 U+2D04
U+10A5 U+2D05
U+10A6 U+2D06
U+10A7 U+2D07
U+10A8 U+2D08
U+10A9 U+2D09
U+10AA U+2D0A
U+10AB U+2D0B
U+10AC U+2D0C
U+10AD U+2D0D
U+10AE U+2D0E
U+10AF U+2D0F
U+10B0 U+2D10
U+10B1 U+2D11
U+10B2 U+2D12
U+10B3 U+2D13
U+10B4 U+2D14
U+10B5 U+2D15
U+10B6 U+2D16
U+10B7 U+2D17
U+10B8 U+2D18
U+10B9 U+2D19
U+10BA U+2D1A
U+10BB U+2D1B
U+10BC U+2D1C
U+10BD U+2D1D
U+10BE U+2D1E
U+10BF U+2D1F
U+10C0 U+2D20
U+10C1 U+2D21
U+10C2 U+2D22
U+10C3 U+2D23
U+10C4 U+2D24
U+10C5 U+2D25
U+10C7 U+2D27
U+10CD U+2D2D
U+10D0 U+1C90
U+10D1 U+1C91
U+10D2 U+1C92
U+10D3 U+1C93
U+10D4 U+1C94
U+10D5 U+1C95
U+10D6 U+1C96
U+10D7 U+1C97
U+10D8 U+1C98
U+10D9 U+1C99
U+10DA U+1C9A
U+10DB U+1C9B
U+10DC U+1C9C
U+10DD U+1C9D
U+10DE U+1C9E
U+10DF U+1C9F
U+10E0 U+1CA0
U+10E1 U+1CA1
U+10E2 U+1CA2
U+10E3 U+1CA3
U+10E4 U+1CA4
U+10E5 U+1CA5
U+10E6 U+1CA6
U+10E7 U+1CA7
U+10E8 U+1CA8
U+10E9 U+1CA9
U+10EA U+1CAA
U+10EB U+1CAB
U+10EC U+1CAC
U+10ED U+1CAD
U+10EE U+1CAE
U+10EF U+1CAF
U+10F0 U+1CB0
U+10F1 U+1CB1
U+10F2 U+1CB2
U+10F3 U+1CB3
U+10F4 U+1CB4
U+10F5 U+1CB5
U+10F6 U+1CB6
U+10F7 U+1CB7
U+10F8 U+1CB8
U+10F9 U+1CB9
U+10FA U+1CBA
U+10FD U+1CBD
U+10FE U+1CBE
U+10FF U+1CBF
U+13A0 U+AB70
U+13A1 U+AB71
U+13A2 U+AB72
U+13A3 U+AB73
U+13A4 U+AB74
U+13A5 U+AB75
U+13A6 U+AB76
U+13A7 U+AB77
U+13A8 U+AB78
U+13A9 U+AB79
U+13AA U+AB7A
U+13AB U+AB7B
U+13AC U+AB7C
U+13AD U+AB7D
U+13AE U+AB7E
U+13AF U+AB7F
U+13B0 U+AB80
U+13B1 U+AB81
U+13B2 U+AB82
U+13B3 U+AB83
U+13B4 U+AB84
U+13B5 U+AB85
U+13B6 U+AB86
U+13B7 U+AB87
U+13B8 U+AB88
U+13B9 U+AB89
U+13BA U+AB8A
U+13BB U+AB8B
U+13BC U+AB8C
U+13BD U+AB8D
U+13BE U+AB8E
U+13BF U+AB8F
U+13C0 U+AB90
U+13C1 U+AB91
U+13C2 U+AB92
U+13C3 U+AB93
U+13C4 U+AB94
U+13C5 U+AB95
U+13C6 U+AB96
U+13C7 U+AB97
U+13C8 U+AB98
U+13C9 U+AB99
U+13CA U+AB9A
U+13CB U+AB9B
U+13CC U+AB9C
U+13CD U+AB9D
U+13CE U+AB9E
U+13CF U+AB9F
U+13D0 U+ABA0
U+13D1 U+ABA1
U+13D2 U+ABA2
U+13D3 U+ABA3
U+13D4 U+ABA4
U+13D5 U+ABA5
U+13D6 U+ABA6
U+13D7 U+ABA7
U+13D8 U+ABA8
U+13D9 U+ABA9
U+13DA U+ABAA
U+13DB U+ABAB
U+13DC U+ABAC
U+13DD U+ABAD
U+13DE U+ABAE
U+13DF U+ABAF
U+13E0 U+ABB0
U+13E1 U+ABB1
U+13E2 U+ABB2
U+13E3 U+ABB3
U+13E4 U+ABB4
U+13E5 U+ABB5
U+13E6 U+ABB6
U+13E7 U+ABB7
U+13E8 U+ABB8
U+13E9 U+ABB9
U+13EA U+ABBA
U+13EB U+ABBB
U+13EC U+ABBC
U+13ED U+ABBD
U+13EE U+ABBE
U+13EF U+ABBF
U+13F0 U+13F8
U+13F1 U+13F9
U+13F2 U+13FA
U+13F3 U+13FB
U+13F4 U+13FC
U+13F5 U+13FD
U+1C88 U+A64A U+A64B
U+1C89 U+1C8A
U+1D79 U+A77D
U+1D7D U+2C63
U+1D8E U+A7C6
U+1E00 U+1E01
U+1E02 U+1E03
U+1E04 U+1E05
U+1E06 U+1E07
U+1E08 U+1E09
U+1E0A U+1E0B
U+1E0C U+1E0D
U+1E0E U+1E0F
U+1E10 U+1E11
U+1E12 U+1E13
U+1E14 U+1E15
U+1E16 U+1E17
U+1E18 U+1E19
U+1E1A U+1E1B
U+1E1C U+1E1D
U+1E1E U+1E1F
U+1E20 U+1E21
U+1E22 U+1E23
U+1E24 U+1E25
U+1E26 U+1E27
U+1E28 U+1E29
U+1E2A U+1E2B
U+1E2C U+1E2D
U+1E2E U+1E2F
U+1E30 U+1E31
U+1E32 U+1E33
U+1E34 U+1E35
U+1E36 U+1E37
U+1E38 U+1E39
U+1E3A U+1E3B
U+1E3C U+1E3D
U+1E3E U+1E3F
U+1E40 U+1E41
U+1E42 U+1E43
U+1E44 U+1E45
U+1E46 U+1E47
U+1E48 U+1E49
U+1E4A U+1E4B
U+1E4C U+1E4D
U+1E4E U+1E4F
U+1E50 U+1E51
U+1E52 U+1E53
U+1E54 U+1E55
U+1E56 U+1E57
U+1E58 U+1E59
U+1E5A U+1E5B
U+1E5C U+1E5D
U+1E5E U+1E5F
U+1E60 U+1E61 U+1E9B
U+1E62 U+1E63
U+1E64 U+1E65
U+1E66 U+1E67
U+1E68 U+1E69
U+1E6A U+1E6B
U+1E6C U+1E6D
U+1E6E U+1E6F
U+1E70 U+1E71
U+1E72 U+1E73
U+1E74 U+1E75
U+1E76 U+1E77
U+1E78 U+1E79
U+1E7A U+1E7B
U+1E7C U+1E7D
U+1E7E U+1E7F
U+1E80 U+1E81
U+1E82 U+1E83
U+1E84 U+1E85
U+1E86 U+1E87
U+1E88 U+1E89
U+1E8A U+1E8B
U+1E8C U+1E8D
U+1E8E U+1E8F
U+1E90 U+1E91
U+1E92 U+1E93
U+1E94 U+1E95
U+1EA0 U+1EA1
U+1EA2 U+1EA3
U+1EA4 U+1EA5
U+1EA6 U+1EA7
U+1EA8 U+1EA9
U+1EAA U+1EAB
U+1EAC U+1EAD
U+1EAE U+1EAF
U+1EB0 U+1EB1
U+1EB2 U+1EB3
U+1EB4 U+1EB5
U+1EB6 U+1EB7
U+1EB8 U+1EB9
U+1EBA U+1EBB
U+1EBC U+1EBD
U+1EBE U+1EBF
U+1EC0 U+1EC1
U+1EC2 U+1EC3
U+1EC4 U+1EC5
U+1EC6 U+1EC7
U+1EC8 U+1EC9
U+1ECA U+1ECB
U+1ECC U+1ECD
U+1ECE U+1ECF
U+1ED0 U+1ED1
U+1ED2 U+1ED3
U+1ED4 U+1ED5
U+1ED6 U+1ED7
U+1ED8 U+1ED9
U+1EDA U+1EDB
U+1EDC U+1EDD
U+1EDE U+1EDF
U+1EE0 U+1EE1
U+1EE2 U+1EE3
U+1EE4 U+1EE5
U+1EE6 U+1EE7
U+1EE8 U+1EE9
U+1EEA U+1EEB
U+1EEC U+1EED
U+1EEE U+1EEF
U+1EF0 U+1EF1
U+1EF2 U+1EF3
U+1EF4 U+1EF5
U+1EF6 U+1EF7
U+1EF8 U+1EF9
U+1EFA U+1EFB
U+1EFC U+1EFD
U+1EFE U+1EFF
U+1F00 U+1F08
U+1F01 U+1F09
U+1F02 U+1F0A
U+1F03 U+1F0B
U+1F04 U+1F0C
U+1F05 U+1F0D
U+1F06 U+1F0E
U+1F07 U+1F0F
U+1F10 U+1F18
U+1F11 U+1F19
U+1F12 U+1F1A
U+1F13 U+1F1B
U+1F14 U+1F1C
U+1F15 U+1F1D
U+1F20 U+1F28
U+1F21 U+1F29
U+1F22 U+1F2A
U+1F23 U+1F2B
U+1F24 U+1F2C
U+1F25 U+1F2D
U+1F26 U+1F2E
U+1F27 U+1F2F
U+1F30 U+1F38
U+1F31 U+1F39
U+1F32 U+1F3A
U+1F33 U+1F3B
U+1F34 U+1F3C
U+1F35 U+1F3D
U+1F36 U+1F3E
U+1F37 U+1F3F
U+1F40 U+1F48
U+1F41 U+1F49
U+1F42 U+1F4A
U+1F43 U+1F4B
U+1F44 U+1F4C
U+1F45 U+1F4D
U+1F51 U+1F59
U+1F53 U+1F5B
U+1F55 U+1F5D
U+1F57 U+1F5F
U+1F60 U+1F68
U+1F61 U+1F69
U+1F62 U+1F6A
U+1F63 U+1F6B
U+1F64 U+1F6C
U+1F65 U+1F6D
U+1F66 U+1F6E
U+1F67 U+1F6F
U+1F70 U+1FBA
U+1F71 U+1FBB
U+1F72 U+1FC8
U+1F73 U+1FC9
U+1F74 U+1FCA
U+1F75 U+1FCB
U+1F76 U+1FDA
U+1F77 U+1FDB
U+1F78 U+1FF8
U+1F79 U+1FF9
U+1F7A U+1FEA
U+1F7B U+1FEB
U+1F7C U+1FFA
U+1F7D U+1FFB
U+1F80 U+1F88
U+1F81 U+1F89
U+1F82 U+1F8A
U+1F83 U+1F8B
U+1F84 U+1F8C
U+1F85 U+1F8D
U+1F86 U+1F8E
U+1F87 U+1F8F
U+1F90 U+1F98
U+1F91 U+1F99
U+1F92 U+1F9A
U+1F93 U+1F9B
U+1F94 U+1F9C
U+1F95 U+1F9D
U+1F96 U+1F9E
U+1F97 U+1F9F
U+1FA0 U+1FA8
U+1FA1 U+1FA9
U+1FA2 U+1FAA
U+1FA3 U+1FAB
U+1FA4 U+1FAC
U+1FA5 U+1FAD
U+1FA6 U+1FAE
U+1FA7 U+1FAF
U+1FB0 U+1FB8
U+1FB1 U+1FB9
U+1FB3 U+1FBC
U+1FC3 U+1FCC
U+1FD0 U+1FD8
U+1FD1 U+1FD9
U+1FE0 U+1FE8
U+1FE1 U+1FE9
U+1FE5 U+1FEC
U+1FF3 U+1FFC
U+2132 U+214E
U+2160 U+2170
U+2161 U+2171
U+2162 U+2172
U+2163 U+2173
U+2164 U+2174
U+2165 U+2175
U+2166 U+2176
U+2167 U+2177
U+2168 U+2178
U+2169 U+2179
U+216A U+217A
U+216B U+217B
U+216C U+217C
U+216D U+217D
U+216E U+217E
U+216F U+217F
U+2183 U+2184
U+24B6 U+24D0
U+24B7 U+24D1
U+24B8 U+24D2
U+24B9 U+24D3
U+24BA U+24D4
U+24BB U+24D5
U+24BC U+24D6
U+24BD U+24D7
U+24BE U+24D8
U+24BF U+24D9
U+24C0 U+24DA
U+24C1 U+24DB
U+24C2 U+24DC
U+24C3 U+24DD
U+24C4 U+24DE
U+24C5 U+24DF
U+24C6 U+24E0
U+24C7 U+24E1
U+24C8 U+24E2
U+24C9 U+24E3
U+24CA U+24E4
U+24CB U+24E5
U+24CC U+24E6
U+24CD U+24E7
U+24CE U+24E8
U+24CF U+24E9
U+2C00 U+2C30
U+2C01 U+2C31
U+2C02 U+2C32
U+2C03 U+2C33
U+2C04 U+2C34
U+2C05 U+2C35
U+2C06 U+2C36
U+2C07 U+2C37
U+2C08 U+2C38
U+2C09 U+2C39
U+2C0A U+2C3A
U+2C0B U+2C3B
U+2C0C U+2C3C
U+2C0D U+2C3D
U+2C0E U+2C3E
U+2C0F U+2C3F
U+2C10 U+2C40
U+2C11 U+2C41
U+2C12 U+2C42
U+2C13 U+2C43
U+2C14 U+2C44
U+2C15 U+2C45
U+2C16 U+2C46
U+2C17 U+2C47
U+2C18 U+2C48
U+2C19 U+2C49
U+2C1A U+2C4A
U+2C1B U+2C4B
U+2C1C U+2C4C
U+2C1D U+2C4D
U+2C1E U+2C4E
U+2C1F U+2C4F
U+2C20 U+2C50
U+2C21 U+2C51
U+2C22 U+2C52
U+2C23 U+2C53
U+2C24 U+2C54
U+2C25 U+2C55
U+2C26 U+2C56
U+2C27 U+2C57
U+2C28 U+2C58
U+2C29 U+2C59
U+2C2A U+2C5A
U+2C2B U+2C5B
U+2C2C U+2C5C
U+2C2D U+2C5D
U+2C2E U+2C5E
U+2C2F U+2C5F
U+2C60 U+2C61
U+2C67 U+2C68
U+2C69 U+2C6A
U+2C6B U+2C6C
U+2C72 U+2C73
U+2C75 U+2C76
U+2C80 U+2C81
U+2C82 U+2C83
U+2C84 U+2C85
U+2C86 U+2C87
U+2C88 U+2C89
U+2C8A U+2C8B
U+2C8C U+2C8D
U+2C8E U+2C8F
U+2C90 U+2C91
U+2C92 U+2C93
U+2C94 U+2C95
U+2C96 U+2C97
U+2C98 U+2C99
U+2C9A U+2C9B
U+2C9C U+2C9D
U+2C9E U+2C9F
U+2CA0 U+2CA1
U+2CA2 U+2CA3
U+2CA4 U+2CA5
U+2CA6 U+2CA7
U+2CA8 U+2CA9
U+2CAA U+2CAB
U+2CAC U+2CAD
U+2CAE U+2CAF
U+2CB0 U+2CB1
U+2CB2 U+2CB3
U+2CB4 U+2CB5
U+2CB6 U+2CB7
U+2CB8 U+2CB9
U+2CBA U+2CBB
U+2CBC U+2CBD
U+2CBE U+2CBF
U+2CC0 U+2CC1
U+2CC2 U+2CC3
U+2CC4 U+2CC5
U+2CC6 U+2CC7
U+2CC8 U+2CC9
U+2CCA U+2CCB
U+2CCC U+2CCD
U+2CCE U+2CCF
U+2CD0 U+2CD1
U+2CD2 U+2CD3
U+2CD4 U+2CD5
U+2CD6 U+2CD7
U+2CD8 U+2CD9
U+2CDA U+2CDB
U+2CDC U+2CDD
U+2CDE U+2CDF
U+2CE0 U+2CE1
U+2CE2 U+2CE3
U+2CEB U+2CEC
U+2CED U+2CEE
U+2CF2 U+2CF3
U+A640 U+A641
U+A642 U+A643
U+A644 U+A645
U+A646 U+A647
U+A648 U+A649
U+A64C U+A64D
U+A64E U+A64F
U+A650 U+A651
U+A652 U+A653
U+A654 U+A655
U+A656 U+A657
U+A658 U+A659
U+A65A U+A65B
U+A65C U+A65D
U+A65E U+A65F
U+A660 U+A661
U+A662 U+A663
U+A664 U+A665
U+A666 U+A667
U+A668 U+A669
U+A66A U+A66B
U+A66C U+A66D
U+A680 U+A681
U+A682 U+A683
U+A684 U+A685
U+A686 U+A687
U+A688 U+A689
U+A68A U+A68B
U+A68C U+A68D
U+A68E U+A68F
U+A690 U+A691
U+A692 U+A693
U+A694 U+A695
U+A696 U+A697
U+A698 U+A699
U+A69A U+A69B
U+A722 U+A723
U+A724 U+A725
U+A726 U+A727
U+A728 U+A729
U+A72A U+A72B
U+A72C U+A72D
U+A72E U+A72F
U+A732 U+A733
U+A734 U+A735
U+A736 U+A737
U+A738 U+A739
U+A73A U+A73B
U+A73C U+A73D
U+A73E U+A73F
U+A740 U+A741
U+A742 U+A743
U+A744 U+A745
U+A746 U+A747
U+A748 U+A749
U+A74A U+A74B
U+A74C U+A74D
U+A74E U+A74F
U+A750 U+A751
U+A752 U+A753
U+A754 U+A755
U+A756 U+A757
U+A758 U+A759
U+A75A U+A75B
U+A75C U+A75D
U+A75E U+A75F
U+A760 U+A761
U+A762 U+A763
U+A764 U+A765
U+A766 U+A767
U+A768 U+A769
U+A76A U+A76B
U+A76C U+A76D
U+A76E U+A76F
U+A779 U+A77A
U+A77B U+A77C
U+A77E U+A77F
U+A780 U+A781
U+A782 U+A783
U+A784 U+A785
U+A786 U+A787
U+A78B U+A78C
U+A790 U+A791
U+A792 U+A793
U+A794 U+A7C4
U+A796 U+A797
U+A798 U+A799
U+A79A U+A79B
U+A79C U+A79D
U+A79E U+A79F
U+A7A0 U+A7A1
U+A7A2 U+A7A3
U+A7A4 U+A7A5
U+A7A6 U+A7A7
U+A7A8 U+A7A9
U+A7B3 U+AB53
U+A7B4 U+A7B5
U+A7B6 U+A7B7
U+A7B8 U+A7B9
U+A7BA U+A7BB
U+A7BC U+A7BD
U+A7BE U+A7BF
U+A7C0 U+A7C1
U+A7C2 U+A7C3
U+A7C7 U+A7C8
U+A7C9 U+A7CA
U+A7CC U+A7CD
U+A7CE U+A7CF
U+A7D0 U+A7D1
U+A7D2 U+A7D3
U+A7D4 U+A7D5
U+A7D6 U+A7D7
U+A7D8 U+A7D9
U+A7DA U+A7DB
U+A7F5 U+A7F6
U+FB05 U+FB06
U+FF21 U+FF41
U+FF22 U+FF42
U+FF23 U+FF43
U+FF24 U+FF44
U+FF25 U+FF45
U+FF26 U+FF46
U+FF27 U+FF47
U+FF28 U+FF48
U+FF29 U+FF49
U+FF2A U+FF4A
U+FF2B U+FF4B
U+FF2C U+FF4C
U+FF2D U+FF4D
U+FF2E U+FF4E
U+FF2F U+FF4F
U+FF30 U+FF50
U+FF31 U+FF51
U+FF32 U+FF52
U+FF33 U+FF53
U+FF34 U+FF54
U+FF35 U+FF55
U+FF36 U+FF56
U+FF37 U+FF57
U+FF38 U+FF58
U+FF39 U+FF59
U+FF3A U+FF5A
U+10400 U+10428
U+10401 U+10429
U+10402 U+1042A
U+10403 U+1042B
U+10404 U+1042C
U+10405 U+1042D
U+10406 U+1042E
U+10407 U+1042F
U+10408 U+10430
U+10409 U+10431
U+1040A U+10432
U+1040B U+10433
U+1040C U+10434
U+1040D U+10435
U+1040E U+10436
U+1040F U+10437
U+10410 U+10438
U+10411 U+10439
U+10412 U+1043A
U+10413 U+1043B
U+10414 U+1043C
U+10415 U+1043D
U+10416 U+1043E
U+10417 U+1043F
U+10418 U+10440
U+10419 U+10441
U+1041A U+10442
U+1041B U+10443
U+1041C U+10444
U+1041D U+10445
